sample_id,category,approx_age_years,condition,user_intention,powers_on,screen_condition,battery_condition,damage_severity,battery_swollen,battery_leaking,overheating_evidence,severe_physical_damage,is_safety_hazard,recommended_action
DEV-42-000045,DESKTOP,8.1,HAZARDOUS,DONATE,NO,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,True,True,True,SPECIAL_HANDLING
DEV-42-000046,MONITOR,7.7,WORKING,REFURBISH,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000047,MONITOR,2.2,WORKING,REPAIR,YES,MINOR_SCRATCHES,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000048,DESKTOP,6.1,WORKING,REPAIR,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,True,True,SPECIAL_HANDLING
DEV-42-000049,MOBILE_PHONE,1.1,PARTIALLY_WORKING,RECYCLE,YES,MINOR_SCRATCHES,NORMAL,MODERATE,True,False,False,False,True,SPECIAL_HANDLING
DEV-42-000050,CABLE,1.8,NOT_WORKING,REFURBISH_AND_SELL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000051,LAPTOP,5.1,WORKING,REFURBISH_AND_SELL,YES,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000052,MOBILE_PHONE,2.6,HAZARDOUS,RECYCLE,YES,INTACT,DEAD,HEAVY,True,False,True,True,True,SPECIAL_HANDLING
DEV-42-000053,LAPTOP,4.5,DAMAGED,RECYCLE,NO,CRACKED,NORMAL,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000054,MOBILE_PHONE,2.0,PARTIALLY_WORKING,REPAIR,YES,INTACT,DEGRADED,MINOR_COSMETIC,False,False,False,False,False,REPAIR
DEV-42-000055,PRINTER,0.7,PARTIALLY_WORKING,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,REPAIR
DEV-42-000056,PRINTER,2.8,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000057,MOBILE_PHONE,3.4,WORKING,REFURBISH_AND_SELL,YES,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000058,DESKTOP,1.6,WORKING,UNSURE,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000059,MOBILE_PHONE,1.1,PARTIALLY_WORKING,REFURBISH,YES,INTACT,NORMAL,NONE,False,False,False,False,False,REPAIR
DEV-42-000060,MOUSE,1.2,WORKING,REFURBISH_AND_SELL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,KEEP_USING
DEV-42-000061,LAPTOP,3.0,NOT_WORKING,REPAIR,NO,DEAD_PIXELS_BLEED,DEGRADED,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000062,LAPTOP,6.0,WORKING,RECYCLE,YES,INTACT,DEAD,NONE,False,False,False,False,False,RECYCLE
DEV-42-000063,LAPTOP,2.8,PARTIALLY_WORKING,REFURBISH,YES,CRACKED,NORMAL,MODERATE,False,False,True,False,True,SPECIAL_HANDLING
DEV-42-000064,MOBILE_PHONE,4.5,WORKING,REFURBISH_AND_SELL,YES,INTACT,DEGRADED,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000065,MOBILE_PHONE,1.2,DAMAGED,REFURBISH_AND_SELL,YES,SHATTERED_NOT_WORKING,NORMAL,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000066,LAPTOP,2.9,PARTIALLY_WORKING,RECYCLE,NO,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000067,LAPTOP,4.3,NOT_WORKING,UNSURE,NO,CRACKED,DEGRADED,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000068,DESKTOP,7.5,NOT_WORKING,REFURBISH_AND_SELL,NO,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000069,CHARGER,2.5,PARTIALLY_WORKING,REPAIR,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000070,MOBILE_PHONE,1.5,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,INTACT,NORMAL,NONE,False,False,False,False,False,REPAIR
DEV-42-000071,LAPTOP,3.8,PARTIALLY_WORKING,UNSURE,NO,CRACKED,NORMAL,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000072,DESKTOP,6.7,PARTIALLY_WORKING,REFURBISH,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,REPAIR
DEV-42-000073,KEYBOARD,5.6,PARTIALLY_WORKING,KEEP_USING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000074,MOBILE_PHONE,0.9,PARTIALLY_WORKING,RECYCLE,YES,CRACKED,NORMAL,MINOR_COSMETIC,False,False,False,False,False,REPAIR
DEV-42-000075,MOBILE_PHONE,2.2,WORKING,UNSURE,YES,INTACT,DEAD,NONE,False,False,False,False,False,REPAIR
DEV-42-000076,MONITOR,2.6,PARTIALLY_WORKING,REPAIR,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,REPAIR
DEV-42-000077,MONITOR,2.0,WORKING,DONATE,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000078,MOBILE_PHONE,7.9,PARTIALLY_WORKING,REFURBISH,YES,INTACT,NORMAL,NONE,False,False,False,False,False,RECYCLE
DEV-42-000079,KEYBOARD,2.0,WORKING,REPAIR,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000080,DESKTOP,7.2,NOT_WORKING,DONATE,NO,NOT_APPLICABLE,NOT_APPLICABLE,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000081,MOBILE_PHONE,5.4,DAMAGED,DONATE,NO,CRACKED,DEGRADED,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000082,LAPTOP,9.4,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,MINOR_SCRATCHES,DEGRADED,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000083,MOBILE_PHONE,1.9,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,INTACT,NORMAL,MODERATE,False,False,True,False,True,SPECIAL_HANDLING
DEV-42-000084,KEYBOARD,9.0,NOT_WORKING,DONATE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000085,KEYBOARD,1.0,PARTIALLY_WORKING,REFURBISH_AND_SELL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000086,LAPTOP,4.9,NOT_WORKING,KEEP_USING,YES,CRACKED,DEGRADED,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000087,MOBILE_PHONE,4.4,PARTIALLY_WORKING,KEEP_USING,YES,DEAD_PIXELS_BLEED,NORMAL,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000088,MOUSE,2.1,NOT_WORKING,RECYCLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000089,MOBILE_PHONE,1.0,WORKING,RECYCLE,YES,INTACT,DEGRADED,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000090,AIR_CONDITIONER,11.8,DAMAGED,REPAIR,NO,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000091,MOBILE_PHONE,1.0,NOT_WORKING,REPAIR,NO,CRACKED,DEGRADED,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000092,TELEVISION,2.0,NOT_WORKING,REFURBISH_AND_SELL,NO,INTACT,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000093,DESKTOP,8.0,NOT_WORKING,DONATE,NO,NOT_APPLICABLE,NOT_APPLICABLE,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000094,DESKTOP,5.9,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,REPAIR
DEV-42-000095,DESKTOP,4.5,NOT_WORKING,UNSURE,NO,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000096,MOBILE_PHONE,1.0,WORKING,REPAIR,YES,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000097,LAPTOP,1.7,WORKING,RECYCLE,YES,INTACT,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000098,DESKTOP,6.3,WORKING,REFURBISH_AND_SELL,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,DONATE
DEV-42-000099,TELEVISION,1.7,HAZARDOUS,REPAIR,YES,SHATTERED_NOT_WORKING,NOT_APPLICABLE,HEAVY,False,False,False,True,True,SPECIAL_HANDLING
DEV-42-000100,MOBILE_PHONE,0.8,WORKING,UNSURE,YES,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000101,REFRIGERATOR,2.7,WORKING,UNSURE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000102,LAPTOP,2.9,WORKING,REPAIR,YES,MINOR_SCRATCHES,NORMAL,NONE,False,False,False,False,False,DONATE
DEV-42-000103,MONITOR,1.2,WORKING,RECYCLE,YES,INTACT,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,KEEP_USING
DEV-42-000104,TELEVISION,3.2,HAZARDOUS,RECYCLE,NO,CRACKED,NOT_APPLICABLE,HEAVY,False,False,True,False,True,SPECIAL_HANDLING
DEV-42-000105,MOBILE_PHONE,5.4,PARTIALLY_WORKING,REPAIR,NO,MINOR_SCRATCHES,DEGRADED,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000106,MOBILE_PHONE,3.7,PARTIALLY_WORKING,REFURBISH,YES,INTACT,DEAD,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000107,DESKTOP,4.8,PARTIALLY_WORKING,KEEP_USING,YES,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,REPAIR
DEV-42-000108,MOUSE,4.8,NOT_WORKING,RECYCLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000109,DESKTOP,9.2,WORKING,REFURBISH,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000110,BATTERY,1.2,WORKING,RECYCLE,NOT_APPLICABLE,NOT_APPLICABLE,NORMAL,MINOR_COSMETIC,False,False,False,False,False,KEEP_USING
DEV-42-000111,PRINTER,3.3,WORKING,KEEP_USING,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000112,DESKTOP,5.5,WORKING,REPAIR,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000113,MOBILE_PHONE,1.3,WORKING,DONATE,YES,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000114,CHARGER,2.6,WORKING,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000115,LAPTOP,2.6,WORKING,KEEP_USING,YES,INTACT,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000116,LAPTOP,3.0,PARTIALLY_WORKING,DONATE,YES,MINOR_SCRATCHES,DEGRADED,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000117,WASHING_MACHINE,2.5,WORKING,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,True,False,True,SPECIAL_HANDLING
DEV-42-000118,PRINTER,2.5,PARTIALLY_WORKING,REFURBISH,NO,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000119,PRINTER,5.1,HAZARDOUS,RECYCLE,NO,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,True,True,True,SPECIAL_HANDLING
DEV-42-000120,OTHER,5.0,DAMAGED,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000121,CHARGER,2.5,WORKING,REFURBISH,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,DONATE
DEV-42-000122,DESKTOP,1.6,PARTIALLY_WORKING,DONATE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,REPAIR
DEV-42-000123,MOBILE_PHONE,1.3,WORKING,REPAIR,YES,INTACT,DEGRADED,MINOR_COSMETIC,True,False,False,False,True,SPECIAL_HANDLING
DEV-42-000124,MOBILE_PHONE,2.0,DAMAGED,REFURBISH_AND_SELL,YES,SHATTERED_NOT_WORKING,NORMAL,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000125,CABLE,2.4,WORKING,KEEP_USING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000126,MOBILE_PHONE,3.8,WORKING,KEEP_USING,YES,MINOR_SCRATCHES,NORMAL,MINOR_COSMETIC,False,False,False,False,False,DONATE
DEV-42-000127,PRINTER,1.6,PARTIALLY_WORKING,UNSURE,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,REPAIR
DEV-42-000128,PRINTER,1.4,DAMAGED,UNSURE,NO,NOT_APPLICABLE,NOT_APPLICABLE,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000129,LAPTOP,2.2,WORKING,DONATE,YES,INTACT,NORMAL,MINOR_COSMETIC,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000130,MOBILE_PHONE,3.1,WORKING,KEEP_USING,YES,INTACT,DEGRADED,NONE,False,False,False,False,False,DONATE
DEV-42-000131,MONITOR,2.7,WORKING,UNSURE,YES,INTACT,NOT_APPLICABLE,NONE,False,False,False,False,False,DONATE
DEV-42-000132,REFRIGERATOR,15.0,WORKING,UNSURE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000133,DESKTOP,4.8,NOT_WORKING,UNSURE,NO,NOT_APPLICABLE,NOT_APPLICABLE,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000134,LAPTOP,0.9,WORKING,REPAIR,YES,CRACKED,NORMAL,NONE,False,False,False,False,False,REPAIR
DEV-42-000135,LAPTOP,2.1,WORKING,REPAIR,YES,MINOR_SCRATCHES,NORMAL,NONE,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000136,LAPTOP,4.2,PARTIALLY_WORKING,REPAIR,YES,INTACT,DEGRADED,NONE,False,False,False,False,False,REPAIR
DEV-42-000137,LAPTOP,4.5,WORKING,RECYCLE,YES,MINOR_SCRATCHES,DEAD,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000138,REFRIGERATOR,2.7,HAZARDOUS,RECYCLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,True,True,SPECIAL_HANDLING
DEV-42-000139,CHARGER,5.2,NOT_WORKING,REFURBISH_AND_SELL,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000140,DESKTOP,6.5,PARTIALLY_WORKING,REFURBISH,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,REFURBISH
DEV-42-000141,WASHING_MACHINE,3.9,WORKING,REPAIR,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,REPAIR
DEV-42-000142,CABLE,1.5,PARTIALLY_WORKING,UNSURE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000143,MOBILE_PHONE,1.6,HAZARDOUS,REFURBISH_AND_SELL,NO,SHATTERED_NOT_WORKING,NORMAL,HEAVY,True,True,False,False,True,SPECIAL_HANDLING
DEV-42-000144,LAPTOP,2.0,WORKING,DONATE,YES,MINOR_SCRATCHES,NORMAL,MINOR_COSMETIC,False,False,False,False,False,REFURBISH_AND_SELL
DEV-42-000145,LAPTOP,4.9,WORKING,REFURBISH,YES,INTACT,NORMAL,NONE,False,False,False,False,False,DONATE
DEV-42-000146,MOUSE,3.1,WORKING,REFURBISH_AND_SELL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000147,KEYBOARD,3.2,PARTIALLY_WORKING,KEEP_USING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000148,LAPTOP,8.6,PARTIALLY_WORKING,REFURBISH,NO,CRACKED,DEAD,NONE,False,False,False,False,False,RECYCLE
DEV-42-000149,REFRIGERATOR,6.9,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,REPAIR
DEV-42-000150,LAPTOP,5.6,PARTIALLY_WORKING,UNSURE,YES,MINOR_SCRATCHES,DEAD,NONE,False,False,False,False,False,RECYCLE
DEV-42-000151,CABLE,2.1,PARTIALLY_WORKING,REFURBISH_AND_SELL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000152,MOBILE_PHONE,11.1,NOT_WORKING,DONATE,YES,INTACT,NORMAL,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000153,KEYBOARD,3.9,PARTIALLY_WORKING,REFURBISH_AND_SELL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000154,KEYBOARD,6.7,WORKING,REPAIR,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,RECYCLE
DEV-42-000155,MOBILE_PHONE,6.1,NOT_WORKING,RECYCLE,NO,INTACT,DEGRADED,HEAVY,False,False,False,False,False,RECYCLE
DEV-42-000156,LAPTOP,7.0,NOT_WORKING,REPAIR,NO,SHATTERED_NOT_WORKING,DEGRADED,MODERATE,False,False,False,False,False,RECYCLE
DEV-42-000157,PRINTER,4.0,PARTIALLY_WORKING,REFURBISH_AND_SELL,YES,NOT_APPLICABLE,NOT_APPLICABLE,MINOR_COSMETIC,False,False,False,False,False,RECYCLE
DEV-42-000158,PRINTER,1.0,WORKING,KEEP_USING,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000159,CHARGER,1.5,WORKING,KEEP_USING,YES,NOT_APPLICABLE,NOT_APPLICABLE,NONE,False,False,False,False,False,KEEP_USING
DEV-42-000160,LAPTOP,5.1,NOT_WORKING,RECYCLE,NO,CRACKED,NORMAL,NONE,False,False,False,False,False,RECYCLE
